
mdpi, hdpi
1711, 1140
1712, 1141
1713, 1142
1714, 1142
1715, 1143
1716, 1144
1717, 1144
1718, 1145
1719, 1146
1720, 1146
1721, 1147
1722, 1148
1723, 1148
1724, 1149
1725, 1150
1726, 1150
1727, 1151
1728, 1152
1729, 1152
1730, 1153
1731, 1154
1732, 1154
1733, 1155
1734, 1156
1735, 1156
1736, 1157
1737, 1158
1738, 1158
1739, 1159
1740, 1160
1741, 1160
1742, 1161
1743, 1162
1744, 1162
1745, 1163
1746, 1164
1747, 1164
1748, 1165
1749, 1166
1750, 1166
1751, 1167
1752, 1168
1753, 1168
1754, 1169
1755, 1170
1756, 1170
1757, 1171
1758, 1172
1759, 1172
1760, 1173
1761, 1174
1762, 1174
1763, 1175
1764, 1176
1765, 1176
1766, 1177
1767, 1178
1768, 1178
1769, 1179
1770, 1180
1771, 1180
1772, 1181
1773, 1182
1774, 1182
1775, 1183
1776, 1184
1777, 1184
1778, 1185
1779, 1186
1780, 1186
1781, 1187
1782, 1188
1783, 1188
1784, 1189
1785, 1190
1786, 1190
1787, 1191
1788, 1192
1789, 1192
1790, 1193
1791, 1194
1792, 1194
1793, 1195
1794, 1196
1795, 1196
1796, 1197
1797, 1198
1798, 1198
1799, 1199
1800, 1200
1801, 1200
1802, 1201
1803, 1202
1804, 1202
1805, 1203
1806, 1204
1807, 1204
1808, 1205
1809, 1206
1810, 1206
1811, 1207
1812, 1208
1813, 1208
1814, 1209
1815, 1210
1816, 1210
1817, 1211
1818, 1212
1819, 1212
1820, 1213
1821, 1214
1822, 1214
1823, 1215
1824, 1216
1825, 1216
1826, 1217
1827, 1218
1828, 1218
1829, 1219
1830, 1220
1831, 1220
1832, 1221
1833, 1222
1834, 1222
1835, 1223
1836, 1224
1837, 1224
1838, 1225
1839, 1226
1840, 1226
1841, 1227
1842, 1228
1843, 1228
1844, 1229
1845, 1230
1846, 1230
1847, 1231
1848, 1232
1849, 1232
1850, 1233
1851, 1234
1852, 1234
1853, 1235
1854, 1236
1855, 1236
1856, 1237
1857, 1238
1858, 1238
1859, 1239
1860, 1240
1861, 1240
1862, 1241
1863, 1242
1864, 1242
1865, 1243
1866, 1244
1867, 1244
1868, 1245
1869, 1246
1870, 1246
1871, 1247
1872, 1248
1873, 1248
1874, 1249
1875, 1250
1876, 1250
1877, 1251
1878, 1252
1879, 1252
1880, 1253
1881, 1254
1882, 1254
1883, 1255
1884, 1256
1885, 1256
1886, 1257
1887, 1258
1888, 1258
1889, 1259
1890, 1260
1891, 1260
1892, 1261
1893, 1262
1894, 1262
1895, 1263
1896, 1264
1897, 1264
1898, 1265
1899, 1266
1900, 1266
1901, 1267
1902, 1268
1903, 1268
1904, 1269
1905, 1270
1906, 1270
1907, 1271
1908, 1272
1909, 1272
1910, 1273
1911, 1274
1912, 1274
1913, 1275
1914, 1276
1915, 1276
1916, 1277
1917, 1278
1918, 1278
1919, 1279
1920, 1280
